
68698,0,1641,1076946,1641,223182,32817,1641,0,17047,1630444,1641,25970,24922,416998,1641,18512,33570,564474,365639,123139,1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,132038,0,0,1139974,0,286610,95052,0,0,79450,1819566,0,90686,151576,800784,0,148511,96180,694465,429802,187326,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,11,0,13,11,13,12,24,13,0,28,59,9,19,50,142,17,39,37,36,31,20,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,1
2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,0,871476,9378016,5423028,1968867,73551,147207,565112,6490,163181,0,1641,23966,407774,1641,834682,611448,1641,517186,0,0,111704,2498669,7738,0,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,15667444,1756481,0,0,129848,203750,211458,693334,4817,293300,0,0,88281,473442,131352,832945,739814,0,581181,0,65924,240262,2754505,6065,65972,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,0,1,0,0,39,43,19,49,14,37,0,13,27,10,25,34,42,13,25,0,11,51,99,14,25,1
38057,227835,3112097,0,1050432,0,1641,171190,1641,848178,6752,1641,0,274577,19395,1641,561614,1024099,1641,1062032,919109,328877,2602474,0,2221205,0,0,1641,1324654,8166,43591,1641,944224,244339,64233,5104,1641,2341859,5254,425672,166447,3529492,0,0,1116315,0,0,365560,65972,976336,6720,0,0,340149,83662,65964,625641,1087846,65924,1125795,1047347,3113938,71384,2153468,260963,0,0,0,1389930,72473,107802,65916,942103,310151,128340,69427,0,2406599,69497,488106,42,75,13,4,10,0,13,64,24,50,1,13,0,14,24,17,39,19,17,40,42,75,39,12,51,0,0,13,12,29,21,24,14,23,21,19,17,10,23,38,1
193232,162965,1641,1341996,37250,8753,61985,71970,109407,1641,5225,67293,195643,1641,4018,144425,12385,1994800,1641,447722,2217,13804,24250,247303,1641,1641,8090,31370,0,67293,25815,123476,33237,121756,1641,2100864,2491969,14395,3128,12903,259100,227216,1405567,0,103126,72828,126276,136253,173586,0,71101,131552,259862,0,68333,208572,76436,2059740,0,511813,68165,78007,88477,311466,65956,0,72397,95389,65908,131552,90106,187759,97448,185959,2100152,2554732,0,80135,65988,77122,23,20,18,14,23,21,22,23,24,16,21,16,24,17,25,22,25,12,17,21,25,22,19,21,17,27,22,25,27,24,22,25,22,23,22,1,13,23,22,24,1
12107,81567,1641,0,4201728,3448182,27106,206945,6100,1641,3162,19667,9704,490739,3544,232712,6517,1641,23699,162408,73026,1641,1028209,22886,1784863,1641,587863,0,0,4201728,3184275,5230,939196,170905,295525,314138,0,228699,167809,33284,76350,145802,65964,7646166,0,0,91421,271064,70335,67421,0,83958,74019,556367,67787,296883,70808,87830,0,292295,137093,65772,1026056,88626,1848098,65772,585934,6659078,787440,0,0,70786,1002847,528664,0,378109,65772,547521,231844,99024,22,23,17,7,1,10,22,21,22,24,18,22,24,19,23,21,24,25,18,39,22,21,14,25,12,17,22,10,0,1,17,22,18,19,16,22,17,140,22,25,1
94618,12856,35523,23167,1641,0,4391314,1641,25832,96422,25202,12184,1641,0,4201728,5906043,1641,1829050,56525,404809,109906,11266,85404,33077,1641,12853,0,331139,1835122,1641,3272,16710,1641,19536,5496,771891,1641,416435,1603724,207909,158685,76771,99622,87266,0,4466622,0,65772,24159,160489,90942,76099,65772,10102843,0,0,1892285,0,122265,725176,173973,73724,82026,31404,0,11180,0,327697,1834226,0,3240,15037,0,17863,5464,769866,0,414570,1809096,0,21,22,21,24,17,7,1,24,15,24,18,20,24,0,1,5,20,13,25,119,20,40,72,16,22,16,23,27,12,16,20,17,20,17,21,16,20,17,12,16,1
0,1641,1728,1641,2474199,721519,3882144,1191115,1059979,69121,230045,567933,564507,932442,197628,1315413,887218,756124,1137152,336961,1985365,218923,0,7567500,4264423,76810,61207,302299,1976383,255657,130878,3434885,134023,598497,1083056,385843,289813,154993,4555416,0,0,0,1696,1491170,856924,2789751,1720534,1183911,1054480,59115,224962,559344,626557,859746,192545,1372124,812913,750753,1186504,273649,1981091,1983939,8514965,0,1536144,68477,51233,290524,1973750,250542,3399998,154063,129004,589908,1074211,380696,288012,4699804,874220,6703865,5,12,11,22,26,99,67,109,75,152,75,125,51,110,67,123,127,85,91,99,53,97,0,1,63,125,141,177,21,74,80,75,77,125,126,75,35,90,25,0,1
1033277,273167,1377223,53155,951823,2237586,532679,0,3019060,5374445,1211799,855288,0,5603876,1770654,82869,188411,2019135,423658,3707591,1892938,5072679,550879,0,0,0,10682233,3103988,2043545,1514388,0,74400,2918686,2707733,416191,0,0,0,0,0,1293545,231699,1397570,97258,1059990,2416841,3105014,5959828,0,288500,997893,1057696,7305096,0,180424,95504,361247,2088925,4113721,90680,6994887,0,2175712,6496260,2428060,130948,18508,3809806,1532728,1569100,1460,133038,3731065,2108263,625142,3609100,4659020,3849760,3368440,3414210,168,113,24,30,121,212,128,0,1,23,60,182,0,1,147,36,186,96,146,98,48,1,71,0,0,0,25,48,219,89,0,56,49,168,267,0,0,0,0,0,1
1242892,1396304,1763617,983568,1052277,0,0,0,587004,269124,425388,0,0,539238,1603193,133216,1421336,0,36264,692496,6468,1350225,2048736,132748,0,36024,881032,1814576,262608,1320782,1885452,47208,0,1430490,4385660,728396,2636120,0,0,0,1321190,370469,1672753,1399598,11964,0,0,1460,851332,268956,425152,0,1460,809712,416122,475976,294199,1460,369787,357044,13175,2205528,160489,273556,1460,1181723,2077912,0,0,987988,898398,252249,13291,1874774,4339815,1652522,1148530,0,0,0,62,58,76,88,15,0,0,0,15,16,6,6,0,38,60,41,33,7,9,25,25,70,72,26,1,16,11,8,23,44,43,71,0,14,88,71,57,0,3,3,1
1106148,938412,733316,0,0,96800,148977,0,1839038,2979544,1987452,3397384,1122521,419849,13260,1315432,88572,1313745,1076868,297266,2415300,389604,0,0,0,0,707428,118644,2941066,887860,1107352,3107101,5091,2273618,678628,175848,2205294,1491332,1116560,0,1630760,703192,380322,140078,0,0,661911,199766,258217,2977601,2013699,2215277,1132755,0,1128757,199094,93532,1307481,314935,296137,2469217,389112,0,0,0,2920,703541,1369380,1170712,638645,1752693,1655918,1632,1815813,349945,179532,2203147,2348211,267013,0,14,47,65,11,0,3,85,1,362,429,417,587,47,33,73,3,130,135,254,163,261,43,4,2,33,0,123,108,43,146,97,121,18,116,116,123,287,144,5,0,1
