-0.245265,-0.244737,-0.250719,-0.258912,-0.249529,-0.261686,-0.243267,-0.247979,-0.250300,-0.250346,-0.252449,-0.257461,-0.254293,-0.253779,-0.247304,-0.249104,-0.259371,-0.261996,-0.250471,-0.252248,-0.372175,-0.370912,-0.377232,-0.379336,-0.380262,-0.378776,-0.380265,-0.384688,-0.377330,-0.383156,-0.376142,-0.384268,-0.379564,-0.374565,-0.366416,-0.373403,-0.378590,-0.377738,-0.367176,-0.373383,-0.481137,-0.483314,-0.485925,-0.491821,-0.493663,-0.494991,-0.491483,-0.488356,-0.495344,-0.494158,-0.496321,-0.500905,-0.491436,-0.492889,-0.490228,-0.496814,-0.487793,-0.496604,-0.486808,-0.481710,1
-0.245264,-0.244736,-0.250719,-0.258912,-0.249528,-0.261685,-0.243266,-0.247978,-0.250299,-0.250345,-0.252448,-0.257461,-0.254292,-0.253779,-0.247303,-0.249104,-0.259370,-0.261996,-0.250470,-0.252248,-0.372173,-0.370911,-0.377230,-0.379335,-0.380260,-0.378773,-0.380263,-0.384685,-0.377328,-0.383154,-0.376141,-0.384266,-0.379562,-0.374564,-0.366415,-0.373402,-0.378588,-0.377737,-0.367175,-0.373383,-0.469418,-0.461752,-0.459178,-0.471140,-0.483853,-0.480639,-0.466657,-0.476044,-0.482379,-0.483965,-0.474355,-0.476644,-0.483779,-0.476330,-0.483632,-0.476145,-0.466232,-0.481432,-0.472165,-0.469844,1
-0.245264,-0.244736,-0.250718,-0.258912,-0.249528,-0.261685,-0.243266,-0.247978,-0.250300,-0.250346,-0.252448,-0.257461,-0.254292,-0.253779,-0.247303,-0.249104,-0.259371,-0.261996,-0.250470,-0.252248,-0.372173,-0.370910,-0.377230,-0.379335,-0.380261,-0.378775,-0.380264,-0.384686,-0.377328,-0.383155,-0.376140,-0.384266,-0.379563,-0.374564,-0.366414,-0.373402,-0.378589,-0.377737,-0.367175,-0.373383,-0.455685,-0.471649,-0.454315,-0.468861,-0.479393,-0.483727,-0.469826,-0.464388,-0.475371,-0.467089,-0.483072,-0.477683,-0.473164,-0.477240,-0.480883,-0.472992,-0.471934,-0.483493,-0.469161,-0.471670,1
-0.245265,-0.244736,-0.250719,-0.258912,-0.249528,-0.261686,-0.243266,-0.247979,-0.250300,-0.250346,-0.252449,-0.257461,-0.254292,-0.253779,-0.247303,-0.249104,-0.259370,-0.261995,-0.250470,-0.252248,-0.372174,-0.370910,-0.377231,-0.379335,-0.380260,-0.378776,-0.380265,-0.384688,-0.377329,-0.383154,-0.376142,-0.384266,-0.379562,-0.374564,-0.366415,-0.373402,-0.378587,-0.377736,-0.367175,-0.373383,-0.462826,-0.469882,-0.469078,-0.472717,-0.476361,-0.493719,-0.486729,-0.486222,-0.472567,-0.472603,-0.484292,-0.478897,-0.475948,-0.476876,-0.460178,-0.485429,-0.474429,-0.481245,-0.470475,-0.468019,1
-0.245265,-0.244736,-0.250718,-0.258912,-0.249528,-0.261686,-0.243266,-0.247978,-0.250300,-0.250345,-0.252448,-0.257461,-0.254293,-0.253779,-0.247303,-0.249104,-0.259371,-0.261996,-0.250470,-0.252247,-0.372175,-0.370911,-0.377230,-0.379335,-0.380260,-0.378776,-0.380264,-0.384687,-0.377329,-0.383153,-0.376140,-0.384267,-0.379563,-0.374564,-0.366415,-0.373402,-0.378589,-0.377736,-0.367175,-0.373383,-0.476743,-0.456980,-0.469078,-0.478150,-0.479037,-0.490994,-0.479686,-0.471119,-0.475020,-0.479955,-0.480631,-0.496053,-0.476296,-0.478877,-0.478685,-0.484203,-0.479774,-0.482556,-0.469536,-0.467654,1
-0.245265,-0.244736,-0.250719,-0.258912,-0.249529,-0.261686,-0.243266,-0.247979,-0.250300,-0.250346,-0.252448,-0.257461,-0.254292,-0.253779,-0.247303,-0.249104,-0.259371,-0.261996,-0.250471,-0.252247,-0.372174,-0.370911,-0.377231,-0.379335,-0.380261,-0.378775,-0.380264,-0.384687,-0.377327,-0.383156,-0.376141,-0.384267,-0.379561,-0.374565,-0.366415,-0.373402,-0.378590,-0.377736,-0.367176,-0.373382,-0.463193,-0.467584,-0.471336,-0.476047,-0.479572,-0.482819,-0.485321,-0.476536,-0.488336,-0.476780,-0.481328,-0.497959,-0.481691,-0.468869,-0.476486,-0.481575,-0.486011,-0.474315,-0.478360,-0.475138,1
-0.245265,-0.244737,-0.250718,-0.258912,-0.249528,-0.261686,-0.243267,-0.247978,-0.250300,-0.250346,-0.252449,-0.257461,-0.254292,-0.253779,-0.247303,-0.249104,-0.259371,-0.261996,-0.250470,-0.252248,-0.372175,-0.370911,-0.377230,-0.379335,-0.380260,-0.378776,-0.380265,-0.384686,-0.377329,-0.383154,-0.376141,-0.384268,-0.379562,-0.374565,-0.366415,-0.373402,-0.378589,-0.377736,-0.367175,-0.373383,-0.462643,-0.471649,-0.459700,-0.470439,-0.474399,-0.491176,-0.488314,-0.464881,-0.474495,-0.485135,-0.479236,-0.494840,-0.473686,-0.486338,-0.466408,-0.483152,-0.492604,-0.475439,-0.467283,-0.472400,1
-0.245264,-0.244737,-0.250719,-0.258912,-0.249528,-0.261685,-0.243266,-0.247978,-0.250300,-0.250345,-0.252449,-0.257461,-0.254292,-0.253779,-0.247303,-0.249104,-0.259371,-0.261996,-0.250470,-0.252248,-0.372172,-0.370911,-0.377231,-0.379334,-0.380260,-0.378774,-0.380263,-0.384686,-0.377329,-0.383154,-0.376141,-0.384268,-0.379562,-0.374564,-0.366415,-0.373403,-0.378589,-0.377737,-0.367175,-0.373383,-0.466489,-0.473240,-0.471684,-0.479903,-0.474756,-0.475007,-0.480567,-0.473089,-0.463282,-0.472101,-0.471565,-0.492067,-0.452803,-0.478150,-0.465858,-0.479648,-0.477992,-0.482931,-0.462214,-0.466194,1
-0.245265,-0.244737,-0.250718,-0.258912,-0.249528,-0.261686,-0.243267,-0.247978,-0.250300,-0.250346,-0.252449,-0.257461,-0.254292,-0.253779,-0.247303,-0.249104,-0.259371,-0.261995,-0.250470,-0.252248,-0.372174,-0.370911,-0.377230,-0.379335,-0.380260,-0.378776,-0.380265,-0.384685,-0.377329,-0.383155,-0.376141,-0.384268,-0.379562,-0.374565,-0.366414,-0.373403,-0.378590,-0.377736,-0.367175,-0.373383,-0.463742,-0.477481,-0.468905,-0.474295,-0.472437,-0.485544,-0.485321,-0.473253,-0.485708,-0.475610,-0.486210,-0.499172,-0.481865,-0.489249,-0.479784,-0.485604,-0.481021,-0.480683,-0.475732,-0.469662,1
-0.245265,-0.244737,-0.250719,-0.258912,-0.249528,-0.261686,-0.243266,-0.247979,-0.250300,-0.250346,-0.252448,-0.257461,-0.254292,-0.253779,-0.247303,-0.249104,-0.259371,-0.261996,-0.250470,-0.252247,-0.372173,-0.370912,-0.377231,-0.379334,-0.380260,-0.378776,-0.380265,-0.384688,-0.377330,-0.383155,-0.376141,-0.384267,-0.379561,-0.374564,-0.366415,-0.373403,-0.378590,-0.377737,-0.367175,-0.373382,-0.467587,-0.475891,-0.461263,-0.464480,-0.473507,-0.489541,-0.483736,-0.471611,-0.493767,-0.476780,-0.473309,-0.492760,-0.480821,-0.478877,-0.472272,-0.483152,-0.492425,-0.490235,-0.475356,-0.468749,1
