0,0,0,0,0,0,0,0,0,0,0,179505,720006,1303085,2104193,1416764,0,351895,1300947,518226,441158,1925290,2227433,1856029,1805893,1602999,1135674,1267590,1618444,1458851,0,0,0,0,0,0,0,0,0,0,677014,219569,740230,1320719,2113473,1430873,1733,444122,1420780,740197,756736,2007615,2221552,1855871,1806490,1600482,1130268,1261706,1609507,1458484,11,0,0,0,0,0,0,0,0,0,166,269,181,419,408,266,0,98,326,87,69,287,192,153,262,509,659,379,572,379,1,198
0,0,0,0,0,0,179505,720006,1303085,2104193,1416764,0,351895,1300947,518226,441158,1925290,2227433,1856029,1805893,1602999,1135674,1267590,1618444,1458851,2505241,1592513,924671,2013635,1708048,0,0,0,0,0,677014,219569,740230,1320719,2113473,1430873,1733,444122,1420780,740197,756736,2007615,2221552,1855871,1806490,1600482,1130268,1261706,1609507,1458484,2503347,1581063,919627,2004006,1695771,0,0,0,0,0,166,269,181,419,408,266,0,98,326,87,69,287,192,153,262,509,659,379,572,379,467,204,96,260,269,1,203
0,179505,720006,1303085,2104193,1416764,0,351895,1300947,518226,441158,1925290,2227433,1856029,1805893,1602999,1135674,1267590,1618444,1458851,2505241,1592513,924671,2013635,1708048,1197327,1241996,451624,1340445,796035,677014,219569,740230,1320719,2113473,1430873,1733,444122,1420780,740197,756736,2007615,2221552,1855871,1806490,1600482,1130268,1261706,1609507,1458484,2503347,1581063,919627,2004006,1695771,1193200,1297196,386688,1395218,722768,166,269,181,419,408,266,0,98,326,87,69,287,192,153,262,509,659,379,572,379,467,204,96,260,269,194,219,50,271,237,1,208
1416764,0,351895,1300947,518226,441158,1925290,2227433,1856029,1805893,1602999,1135674,1267590,1618444,1458851,2505241,1592513,924671,2013635,1708048,1197327,1241996,451624,1340445,796035,959024,1179922,1178740,1174452,714272,1430873,1733,444122,1420780,740197,756736,2007615,2221552,1855871,1806490,1600482,1130268,1261706,1609507,1458484,2503347,1581063,919627,2004006,1695771,1193200,1297196,386688,1395218,722768,962593,1168881,1174912,1168290,707185,266,0,98,326,87,69,287,192,153,262,509,659,379,572,379,467,204,96,260,269,194,219,50,271,237,114,212,171,201,195,1,213
441158,1925290,2227433,1856029,1805893,1602999,1135674,1267590,1618444,1458851,2505241,1592513,924671,2013635,1708048,1197327,1241996,451624,1340445,796035,959024,1179922,1178740,1174452,714272,999586,1470893,754263,1561761,622851,756736,2007615,2221552,1855871,1806490,1600482,1130268,1261706,1609507,1458484,2503347,1581063,919627,2004006,1695771,1193200,1297196,386688,1395218,722768,962593,1168881,1174912,1168290,707185,998781,1460733,751488,1553334,618314,69,287,192,153,262,509,659,379,572,379,467,204,96,260,269,194,219,50,271,237,114,212,171,201,195,195,216,107,153,129,1,218
1602999,1135674,1267590,1618444,1458851,2505241,1592513,924671,2013635,1708048,1197327,1241996,451624,1340445,796035,959024,1179922,1178740,1174452,714272,999586,1470893,754263,1561761,622851,898327,1543182,281840,678643,1191221,1600482,1130268,1261706,1609507,1458484,2503347,1581063,919627,2004006,1695771,1193200,1297196,386688,1395218,722768,962593,1168881,1174912,1168290,707185,998781,1460733,751488,1553334,618314,991053,1449475,280022,677000,1183832,509,659,379,572,379,467,204,96,260,269,194,219,50,271,237,114,212,171,201,195,195,216,107,153,129,88,172,89,73,154,1,223
2505241,1592513,924671,2013635,1708048,1197327,1241996,451624,1340445,796035,959024,1179922,1178740,1174452,714272,999586,1470893,754263,1561761,622851,898327,1543182,281840,678643,1191221,1386250,1096612,166081,730301,740283,2503347,1581063,919627,2004006,1695771,1193200,1297196,386688,1395218,722768,962593,1168881,1174912,1168290,707185,998781,1460733,751488,1553334,618314,991053,1449475,280022,677000,1183832,1383475,1094579,162818,819003,650240,467,204,96,260,269,194,219,50,271,237,114,212,171,201,195,195,216,107,153,129,88,172,89,73,154,269,185,13,136,76,1,228
1197327,1241996,451624,1340445,796035,959024,1179922,1178740,1174452,714272,999586,1470893,754263,1561761,622851,898327,1543182,281840,678643,1191221,1386250,1096612,166081,730301,740283,1508668,1359255,196379,586841,1272312,1193200,1297196,386688,1395218,722768,962593,1168881,1174912,1168290,707185,998781,1460733,751488,1553334,618314,991053,1449475,280022,677000,1183832,1383475,1094579,162818,819003,650240,1498754,1355084,194630,645119,1204290,194,219,50,271,237,114,212,171,201,195,195,216,107,153,129,88,172,89,73,154,269,185,13,136,76,188,130,55,85,202,1,233
959024,1179922,1178740,1174452,714272,999586,1470893,754263,1561761,622851,898327,1543182,281840,678643,1191221,1386250,1096612,166081,730301,740283,1508668,1359255,196379,586841,1272312,853121,1208840,0,635714,808331,962593,1168881,1174912,1168290,707185,998781,1460733,751488,1553334,618314,991053,1449475,280022,677000,1183832,1383475,1094579,162818,819003,650240,1498754,1355084,194630,645119,1204290,847151,1205951,0,629152,807501,114,212,171,201,195,195,216,107,153,129,88,172,89,73,154,269,185,13,136,76,188,130,55,85,202,197,162,0,84,137,1,238
999586,1470893,754263,1561761,622851,898327,1543182,281840,678643,1191221,1386250,1096612,166081,730301,740283,1508668,1359255,196379,586841,1272312,853121,1208840,0,635714,808331,536913,625001,232175,919398,1290392,998781,1460733,751488,1553334,618314,991053,1449475,280022,677000,1183832,1383475,1094579,162818,819003,650240,1498754,1355084,194630,645119,1204290,847151,1205951,0,629152,807501,531243,621659,231839,918205,1283327,195,216,107,153,129,88,172,89,73,154,269,185,13,136,76,188,130,55,85,202,197,162,0,84,137,46,134,109,98,180,1,243
898327,1543182,281840,678643,1191221,1386250,1096612,166081,730301,740283,1508668,1359255,196379,586841,1272312,853121,1208840,0,635714,808331,536913,625001,232175,919398,1290392,791872,1112105,459845,1482262,637247,991053,1449475,280022,677000,1183832,1383475,1094579,162818,819003,650240,1498754,1355084,194630,645119,1204290,847151,1205951,0,629152,807501,531243,621659,231839,918205,1283327,784336,1105851,454997,1481277,635403,88,172,89,73,154,269,185,13,136,76,188,130,55,85,202,197,162,0,84,137,46,134,109,98,180,190,177,94,179,146,1,248
