
1630444,1641,25970,24922,416998,1641,18512,33570,564474,365639,123139,1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,1819566,0,90686,151576,800784,0,148511,96180,694465,429802,187326,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,59,9,19,50,142,17,39,37,36,31,20,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,1
1641,25970,24922,416998,1641,18512,33570,564474,365639,123139,1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,0,90686,151576,800784,0,148511,96180,694465,429802,187326,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,9,19,50,142,17,39,37,36,31,20,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,1
25970,24922,416998,1641,18512,33570,564474,365639,123139,1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,90686,151576,800784,0,148511,96180,694465,429802,187326,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,19,50,142,17,39,37,36,31,20,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,1
24922,416998,1641,18512,33570,564474,365639,123139,1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,151576,800784,0,148511,96180,694465,429802,187326,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,50,142,17,39,37,36,31,20,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,1
416998,1641,18512,33570,564474,365639,123139,1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,800784,0,148511,96180,694465,429802,187326,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,142,17,39,37,36,31,20,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,1
1641,18512,33570,564474,365639,123139,1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,0,148511,96180,694465,429802,187326,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,17,39,37,36,31,20,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,1
18512,33570,564474,365639,123139,1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,148511,96180,694465,429802,187326,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,39,37,36,31,20,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,1
33570,564474,365639,123139,1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,96180,694465,429802,187326,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,37,36,31,20,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,1
564474,365639,123139,1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,694465,429802,187326,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,36,31,20,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,1
365639,123139,1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,429802,187326,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,31,20,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,1
123139,1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,187326,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,20,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,1
1641,37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,15,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,1
37385,26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,101636,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,25,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1
26354,76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,154944,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,46,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,1
